name,ticket,quota,ballotPosition,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C239,C240,C241,C242,C243,C244,C245,C246,C247,C248,C249,C250,C251,C252,C253,C254,C255,C256,C257,C258,C259,C260,C261,C262,C263,C264,C265,C266,C267,C268,C269,C270,C271,C272,C273,C274,C275,C276,C277,C278,C279,C280,C281,C282,C283,C284,C285,C286,C287,C288,C289,C290,C291,C292,C293,C294,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C350,C351,C352,C353,C354,C355,C356,C357,C358,C359,C360,C361,C362,C363,C364,C365,C366,C367
"KENNEDY, Robert",N,534207,63,35502,35717,35739,35750,35750,35750,35750,35750,35750,35750,35750,35750,35751,35751,35751,35751,35751,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35752,35755,35756,35756,35756,35756,35756,35756,35756,35756,35756,35757,35757,35757,35757,35757,35757,35757,35757,35757,35757,35759,35759,35759,35759,35759,35759,35759,35761,35761,35761,35761,35761,35879,35881,35881,35881,35881,35882,35883,35883,35883,35883,35886,35886,35886,35886,35886,35889,35889,35889,35889,35889,35890,35892,35892,35892,35892,35892,35892,35892,35896,35896,35896,35896,35896,35897,35899,35899,35899,35899,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35909,35910,35910,35910,35910,35912,35912,35912,35912,35916,35917,35917,35917,35917,35921,35921,35921,35921,35921,35934,35935,35935,35935,35935,35939,35939,35939,35939,35940,35940,35940,35940,35940,35952,35958,35958,35959,35959,35961,35961,35961,35961,35961,35975,35976,35976,35976,35976,35976,35976,35976,35976,35976,35978,35978,35978,35978,35978,35985,35985,35985,35985,35985,36000,36000,36000,36000,36000,36006,36006,36007,36007,36007,36023,36023,36023,36023,36023,36046,36054,36054,36054,36054,36100,36100,36100,36100,36100,36106,36107,36107,36107,36107,36126,36126,36126,36126,36126,36317,36325,36325,36325,36325,36335,36335,36336,36336,36336,36365,36371,36371,36373,36373,36516,36517,36517,36517,36517,36523,36523,36523,36523,36523,36570,36570,36571,36571,36571,36659,36659,36659,36659,36659,36670,36670,36670,36670,36670,36764,36769,36769,36769,36769,37737,37769,37773,37775,37775,37982,37983,37986,37986,37986,38253,38266,38266,38266,38266,38396,38401,38401,38401,38401,38605,38607,38608,38608,38608,38922,38924,38924,38924,38924,39231,39233,39234,39234,39234,39651,39651,39651,39651,39651,40464,40503,40504,40505,40505,41668,41685,41690,41691,41691,42411,42463,42466,42472,42472,43807,43828,43828,43829,43829,516,68,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAILEY, Kevin",B,534207,101,24272,24390,24410,24442,24442,24442,24442,24442,24442,24442,24442,24442,24443,24443,24443,24443,24443,24443,24443,24443,24468,24468,24468,24468,24471,24471,24471,24471,24471,24479,24479,24479,24568,24569,24569,24569,24569,24572,24572,24572,24572,24572,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24580,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24581,24582,24582,24582,24582,24582,24583,24583,24583,24583,24583,24583,24583,24583,24583,24583,24587,24587,24587,24587,24587,24588,24588,24588,24588,24588,24588,24588,24588,24588,24588,24591,24591,24591,24597,24598,24598,24598,24598,24598,24598,24598,24598,24598,24599,24599,24599,24599,24599,24603,24603,24603,24603,24603,24604,24604,24604,24604,24604,24607,24607,24607,24607,24611,24612,24612,24612,24612,24612,24612,24612,24612,24612,24614,24614,24614,24614,24614,24620,24620,24620,24620,24624,24624,24625,24625,24625,24626,24628,24628,24628,24628,24629,24629,24629,24629,24629,24653,24660,24660,24660,24660,24661,24661,24661,24661,24661,24661,24661,24661,24661,24661,24662,24662,24662,24662,24662,24679,24679,24679,24679,24679,24682,24682,24682,24682,24682,24819,24819,24819,24819,24819,24825,24827,24827,24827,24827,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24899,24899,24901,24901,24901,24925,24925,24925,24925,24925,24928,24928,24928,24928,24928,24964,24968,24968,24970,24970,24978,24978,24978,24978,24978,24979,24979,24979,24979,24979,25317,25317,25317,25317,25317,25747,25748,25749,25749,25749,25754,25754,25754,25754,25754,25783,25784,25784,25784,25784,25851,25851,25851,25851,25851,25993,25993,25994,25994,25994,26030,26031,26031,26031,26031,26048,26048,26048,26048,26048,26993,26994,26998,26998,26998,31320,31333,31342,31342,31342,32161,32164,32202,32202,32202,32376,32376,32377,32377,32377,34652,34663,34663,34664,34664,34820,34822,34823,34823,34823,35097,35104,35104,35104,35104,290,113,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAYNE, Bob",E,534207,44,18585,18782,18799,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18811,18813,18813,18813,18813,18814,18814,18814,18814,18814,18814,18814,18814,18817,18817,18817,18817,18817,18817,18817,18817,18817,18817,18818,18818,18818,18818,18818,18818,18818,18818,18818,18818,18823,18823,18823,18823,18823,18831,18846,18846,18847,18847,18848,18848,18848,18848,18848,18848,18848,18848,18848,18848,18848,18848,18850,18850,18850,18850,18850,18851,18851,18851,18851,18851,18966,18966,18966,18966,18966,18966,18966,18966,18966,18966,18971,18973,18973,18973,18973,18974,18974,18974,18974,18974,18974,18974,18974,18986,19007,19007,19007,19007,19008,19008,19008,19008,19008,19009,19009,19009,19009,19009,19017,19017,19017,19017,19017,19017,19017,19017,19017,19021,19022,19022,19022,19022,19024,19024,19024,19024,19024,19034,19034,19034,19034,19034,19035,19035,19035,19035,19037,19037,19037,19037,19037,19045,19045,19045,19045,19045,19045,19045,19045,19045,19045,19067,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19071,19072,19072,19072,19094,19094,19094,19094,19094,19096,19096,19096,19096,19096,19108,19108,19108,19108,19108,19127,19129,19129,19129,19129,19138,19138,19138,19138,19138,19138,19138,19138,19138,19138,19155,19155,19155,19155,19155,19213,19214,19214,19214,19214,19219,19219,19219,19219,19219,19270,19275,19275,19276,19276,19286,19286,19286,19286,19286,19289,19289,19289,19289,19289,19325,19325,19325,19325,19325,19974,19975,19975,19975,19975,19982,19982,19982,19982,19982,20474,20596,20597,20599,20599,20722,20724,20726,20726,20726,20794,20794,20794,20794,20794,21000,21002,21002,21002,21002,22077,22200,22203,22210,22210,22442,22443,22445,22445,22445,22692,22693,22694,22694,22694,22826,22826,22826,22826,22826,22929,22929,22929,22929,22929,550,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEMP, Simon",D,534207,42,18359,18753,18772,18806,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18807,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18808,18816,18826,18826,18826,18826,18826,18826,18826,18829,18829,18829,18829,18832,18832,18832,18832,18832,18835,18836,18836,18836,18836,18838,18838,18838,18838,18838,18841,18843,18843,18843,18843,18844,18844,18844,18844,18844,18896,18896,18896,18896,18896,18901,18901,18901,18903,18903,18903,18903,18903,18922,18956,18956,18958,18958,18959,18959,18959,18959,18959,18962,18962,18962,18962,18962,18973,18973,18973,18973,18973,18974,18974,18974,18974,18979,18979,18979,18979,18979,18984,18984,18984,18984,18984,18991,18991,18992,18992,18992,18996,18996,18996,18996,18997,18997,18998,18998,18998,19013,19015,19015,19015,19015,19020,19020,19020,19020,19020,19040,19042,19042,19042,19042,19043,19043,19044,19044,19044,19044,19044,19044,19044,19044,19046,19046,19046,19046,19046,19080,19080,19080,19080,19080,19090,19090,19090,19090,19090,19118,19118,19118,19118,19118,19148,19149,19149,19150,19150,19178,19178,19178,19178,19178,19183,19183,19183,19183,19183,19256,19256,19256,19256,19256,19353,19354,19354,19354,19354,19362,19362,19362,19362,19362,19450,19461,19461,19465,19465,19519,19519,19519,19519,19519,19525,19525,19525,19525,19525,19574,19574,19575,19575,19575,19634,19634,19634,19634,19634,19653,19653,19653,19653,19653,20944,21044,21047,21052,21052,21259,21259,21259,21259,21259,21609,21609,21612,21612,21612,22104,22106,22107,22107,22107,24867,25426,25435,25445,25445,26037,26038,26042,26042,26042,26133,26133,26133,26133,26133,26696,26697,26699,26699,26699,27293,27295,27298,27298,27298,28464,28508,28510,28511,28511,29432,29434,29436,29436,29436,1279,110,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STEVENS, Bruce",A,534207,98,16448,16472,16500,16501,16501,16501,16501,16501,16501,16501,16502,16502,16527,16527,16527,16527,16527,16527,16527,16527,16528,16528,16528,16528,16530,16530,16530,16530,16530,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16594,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16600,16600,16600,16600,16600,16601,16601,16601,16601,16601,16602,16602,16602,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16611,16612,16612,16612,16612,16612,16618,16618,16618,16618,16618,16621,16621,16621,16621,16630,16630,16630,16630,16630,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16632,16632,16632,16632,16635,16635,16635,16635,16635,16638,16638,16638,16638,16638,16640,16640,16640,16640,16640,16641,16641,16641,16641,16641,16642,16642,16642,16642,16642,16644,16644,16644,16644,16644,16646,16646,16646,16646,16646,16654,16654,16654,16654,16654,16659,16659,16659,16659,16659,16934,16934,16934,16934,16934,16937,16937,16937,16937,16937,16949,16949,16949,16949,16949,16949,16949,16949,16949,16949,17128,17128,17132,17132,17132,17172,17172,17172,17172,17172,17180,17180,17180,17180,17180,17185,17185,17185,17185,17185,17201,17201,17201,17201,17201,17202,17202,17202,17202,17202,17711,17711,17712,17712,17712,17943,17943,17945,17945,17945,17953,17953,17953,17953,17953,17964,17964,17964,17964,17964,17984,17985,17985,17985,17985,18074,18074,18076,18076,18076,18090,18090,18090,18090,18090,18109,18109,18109,18109,18109,18373,18374,18378,18378,18378,68,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRIESE, Tania",R,534207,72,14848,14852,14868,14869,14870,14871,14871,14871,14871,14871,14871,14871,14871,14871,14871,14871,14871,14872,14872,14872,14872,14872,14872,14872,14873,14873,14873,14873,14873,14874,14874,14874,14874,14874,14874,14874,14874,14875,14875,14875,14875,14875,14876,14876,14876,14876,14876,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14878,14878,14878,15011,15011,15012,15012,15015,15015,15015,15015,15015,15019,15019,15019,15019,15019,15022,15022,15022,15022,15022,15022,15022,15022,15022,15022,15029,15029,15029,15029,15029,15030,15030,15030,15030,15030,15032,15032,15032,15034,15034,15034,15034,15034,15034,15034,15034,15034,15034,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,15047,15047,15047,15047,15047,15075,15075,15075,15075,15075,15075,15075,15075,15075,15084,15084,15084,15084,15084,15094,15094,15094,15094,15094,15101,15101,15101,15101,15104,15104,15104,15104,15104,15107,15107,15107,15107,15107,15117,15117,15117,15117,15117,15118,15118,15118,15118,15118,15122,15122,15122,15122,15122,15124,15124,15124,15124,15124,15131,15131,15132,15132,15132,15280,15280,15280,15280,15280,15291,15291,15291,15291,15291,15377,15377,15377,15377,15377,15380,15380,15380,15380,15380,15736,15736,15736,15736,15736,15750,15750,15750,15750,15750,15982,15982,15982,15982,15982,16061,16061,16061,16061,16061,16071,16071,16071,16071,16071,16082,16082,16082,16082,16082,16583,16583,16583,16583,16583,16607,16607,16607,16607,16607,16718,16718,16718,16718,16718,16873,16873,16874,16874,16874,16903,16903,16903,16903,16903,16980,16980,16980,16980,16980,17406,17406,17406,17406,17406,18167,18167,18171,18171,18171,18465,18465,18465,18465,18465,18897,18897,18898,18898,18898,19298,19298,19300,19300,19300,19518,19518,19519,19519,19519,20285,20286,20288,20288,20288,36,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WITTWER, Paul",M,534207,61,14737,14754,14778,14780,14781,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14784,14786,14786,14786,14786,14786,14796,14796,14796,14796,14796,14796,14796,14796,14796,14796,14797,14797,14797,14797,14797,14824,14824,14824,14826,14826,14826,14826,14828,14828,14828,14828,14828,14829,14829,14829,14829,14829,14838,14838,14838,14838,14838,14838,14838,14838,14838,14838,14839,14839,14839,14839,14839,14839,14839,14839,14839,14839,14839,14839,14839,14840,14840,14840,14840,14840,14841,14842,14842,14842,14842,14848,14848,14848,14848,14848,14855,14855,14855,14855,14855,14862,14863,14863,14863,14863,14911,14911,14911,14911,14914,14914,14914,14914,14914,15238,15238,15238,15238,15238,15248,15248,15248,15248,15248,15266,15266,15266,15266,15274,15274,15274,15274,15274,15278,15279,15279,15279,15279,15288,15288,15288,15288,15288,15291,15291,15291,15291,15291,15300,15300,15300,15300,15300,15305,15305,15305,15305,15305,15319,15319,15320,15320,15320,15426,15426,15426,15426,15426,15441,15441,15441,15441,15441,15452,15452,15452,15452,15452,15459,15460,15460,15460,15460,15543,15543,15543,15543,15543,15561,15561,15561,15561,15561,15611,15611,15611,15611,15611,15830,15832,15832,15832,15832,15849,15849,15850,15850,15850,15870,15873,15873,15873,15873,16074,16074,16076,16076,16076,16109,16109,16110,16110,16110,16137,16137,16137,16137,16137,16191,16191,16191,16191,16191,16232,16232,16232,16232,16233,16314,16314,16314,16314,16314,17305,17311,17314,17314,17314,17684,17684,17688,17688,17688,19879,19885,19888,19890,19890,20395,20397,20398,20398,20398,20914,20915,20918,20918,20918,20977,20977,20979,20979,20979,22627,22628,22632,22632,22632,23910,23910,23912,23912,23912,24382,24392,24393,24393,24393,110,58,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOENSEN, Allan",Y,534207,94,13784,13795,13891,13893,13895,13895,13895,13895,13895,13895,13896,13896,13896,13896,13896,13896,13896,13896,13896,13896,13897,13897,13897,13897,13898,13898,13898,13898,13898,13898,13898,13898,13900,13900,13900,13900,13900,13903,13903,13903,13903,13903,13903,13903,13903,13903,13903,13909,13909,13909,13909,13909,13910,13910,13910,13910,13910,13911,13911,13911,13911,13911,13917,13917,13917,13917,13917,13917,13917,13917,13917,13917,13917,13917,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13924,13925,13925,13925,13925,13925,13925,13925,13925,13925,13925,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,13926,14141,14141,14141,14141,14141,14142,14142,14142,14142,14142,14186,14186,14186,14186,14189,14189,14189,14189,14189,14196,14196,14196,14196,14196,14199,14199,14199,14199,14199,14219,14219,14219,14219,14223,14223,14223,14223,14223,14224,14224,14224,14224,14224,14236,14236,14236,14236,14236,14238,14238,14238,14238,14238,14246,14246,14246,14246,14246,14251,14251,14251,14251,14251,14261,14261,14262,14262,14262,14370,14370,14370,14370,14370,14386,14386,14386,14386,14386,14477,14477,14477,14477,14477,14483,14483,14483,14483,14483,14566,14566,14566,14566,14566,14585,14585,14586,14586,14586,14726,14726,14727,14727,14727,14761,14761,14761,14761,14761,14772,14772,14773,14773,14773,14787,14787,14787,14787,14787,14973,14973,14973,14973,14973,14996,14996,14996,14996,14996,15255,15255,15255,15255,15255,15540,15540,15557,15557,15557,15598,15598,15599,15599,15599,15638,15639,15639,15639,15639,15940,15940,15940,15940,15940,16382,16382,16386,16386,16386,16889,16890,16892,16892,16892,17056,17058,17059,17059,17059,18905,18908,18912,18912,18912,19307,19308,19311,19311,19311,155,136,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLDEN, Isaac",D,534207,106,12764,12778,12843,12844,12846,12846,12846,12846,12846,12846,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12849,12849,12849,12849,12849,12849,12849,12849,12850,12850,12850,12850,12850,12915,12915,12915,12915,12915,12915,12915,12915,12915,12915,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12918,12924,12924,12924,12925,12925,12925,12925,12926,12926,12926,12926,12926,12931,12931,12931,12931,12931,12935,12935,12935,12935,12935,12937,12937,12937,12937,12937,12939,12939,12939,12939,12939,12940,12940,12940,12940,12940,12942,12942,12942,12945,12945,12945,12945,12945,12945,12945,12945,12945,12945,12948,12948,12948,12948,12948,12959,12959,12959,12959,12959,12959,12959,12959,12959,12959,12986,12986,12986,12986,12988,12988,12988,12988,12988,12992,12992,12992,12992,12992,12995,12995,12995,12995,12995,13011,13011,13011,13011,13018,13018,13018,13018,13018,13020,13021,13021,13021,13021,13033,13033,13033,13033,13033,13034,13034,13034,13034,13034,13041,13041,13041,13041,13041,13045,13045,13046,13046,13046,13051,13051,13051,13051,13051,13154,13154,13154,13154,13154,13168,13168,13168,13168,13168,13648,13648,13649,13649,13649,13653,13653,13653,13653,13653,13676,13676,13676,13676,13676,13684,13684,13684,13684,13684,13828,13828,13829,13829,13829,13874,13875,13875,13875,13875,13895,13896,13897,13897,13897,13911,13911,13911,13911,13911,13944,13944,13944,13944,13944,13956,13956,13956,13956,13956,14611,14613,14624,14624,14624,14785,14785,14786,14786,14786,14830,14830,14831,14831,14831,14863,14864,14864,14864,14864,14936,14937,14937,14937,14937,15587,15587,15590,15590,15590,15781,15782,15782,15782,15782,15966,15968,15968,15968,15968,112,88,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIETSCH, Tessa",C,534207,40,12298,12545,12562,12576,12576,12576,12576,12576,12576,12576,12577,12577,12577,12577,12577,12577,12577,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12579,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12628,12628,12628,12628,12628,12629,12629,12629,12629,12629,12629,12629,12632,12632,12632,12632,12632,12633,12633,12633,12633,12633,12640,12640,12640,12640,12640,12643,12644,12644,12644,12644,12646,12646,12646,12646,12646,12649,12649,12649,12649,12649,12649,12649,12649,12649,12649,12649,12649,12649,12658,12698,12698,12703,12703,12709,12709,12709,12709,12709,12710,12710,12710,12710,12710,12714,12714,12714,12714,12714,12715,12715,12715,12715,12716,12717,12717,12717,12717,12719,12719,12719,12719,12719,12721,12721,12721,12721,12721,12721,12721,12721,12721,12722,12722,12722,12722,12722,12724,12725,12725,12725,12725,12730,12730,12730,12730,12730,12751,12752,12752,12752,12752,12759,12759,12759,12759,12759,12768,12768,12768,12768,12768,12786,12786,12786,12786,12786,12799,12799,12799,12799,12799,12807,12807,12808,12808,12808,12823,12823,12823,12823,12823,12847,12848,12848,12848,12848,12879,12879,12879,12879,12879,12890,12890,12891,12891,12891,12910,12910,12910,12910,12910,12960,12960,12961,12961,12961,12973,12973,12973,12973,12973,13017,13021,13021,13024,13024,13101,13101,13102,13102,13102,13118,13118,13118,13118,13118,13133,13133,13133,13133,13133,13154,13154,13154,13154,13154,13185,13185,13185,13185,13185,14501,15014,15023,15030,15030,15135,15135,15135,15135,15135,15408,15408,15408,15408,15408,15680,15681,15682,15682,15682,870,60,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AYTON, Philip John",H,534207,51,12134,12181,12193,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12199,12199,12199,12199,12199,12199,12199,12199,12199,12199,12200,12200,12200,12200,12200,12202,12203,12203,12203,12203,12204,12204,12204,12204,12204,12204,12204,12205,12205,12205,12205,12205,12206,12206,12206,12206,12206,12306,12306,12306,12306,12306,12312,12314,12314,12314,12314,12314,12314,12314,12314,12314,12321,12323,12323,12323,12323,12324,12324,12324,12326,12326,12326,12326,12326,12329,12330,12330,12330,12330,12334,12334,12334,12334,12334,12338,12338,12338,12338,12338,12342,12342,12342,12342,12342,12344,12344,12344,12344,12355,12355,12355,12355,12355,12361,12361,12361,12361,12361,12365,12365,12365,12365,12365,12368,12368,12368,12368,12372,12372,12372,12372,12372,12390,12394,12395,12396,12396,12400,12400,12400,12400,12400,12410,12410,12411,12411,12411,12415,12415,12415,12415,12415,12421,12421,12421,12421,12421,12425,12425,12425,12425,12425,12456,12456,12456,12456,12456,12471,12471,12471,12471,12471,12488,12488,12488,12488,12488,12499,12499,12499,12499,12499,12644,12644,12644,12644,12644,12656,12656,12656,12656,12656,12687,12687,12687,12687,12687,12770,12771,12771,12771,12771,12784,12784,12785,12785,12785,12805,12806,12806,12807,12807,12868,12868,12868,12868,12868,12884,12884,12884,12884,12884,12902,12902,12902,12902,12902,12930,12930,12930,12930,12930,12965,12965,12965,12965,12965,13178,13186,13187,13188,13188,13393,13393,13393,13393,13393,13507,13507,13508,13508,13508,91,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EVERARD, Narelle",T,534207,76,10542,10551,10632,10633,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10638,10638,10638,10640,10640,10640,10640,10640,10644,10644,10644,10644,10644,10644,10644,10644,10644,10644,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10705,10716,10716,10716,10724,10724,10724,10724,10725,10725,10725,10725,10725,10725,10725,10725,10725,10725,10727,10727,10727,10727,10727,10728,10728,10728,10728,10728,10735,10735,10735,10735,10735,10737,10738,10738,10738,10738,10739,10739,10739,10743,10743,10743,10743,10743,10743,10743,10743,10743,10743,10744,10744,10744,10744,10744,10751,10751,10751,10751,10751,10755,10755,10755,10755,10755,10773,10773,10773,10773,10774,10774,10774,10774,10774,10778,10778,10778,10778,10778,10793,10793,10795,10795,10795,10799,10799,10799,10799,10802,10802,10802,10802,10802,10806,10807,10807,10807,10807,10814,10814,10814,10814,10814,10816,10816,10816,10816,10816,10824,10824,10825,10825,10825,10825,10825,10825,10825,10825,10830,10830,10832,10832,10832,10905,10905,10905,10905,10905,10929,10930,10931,10931,10931,11001,11001,11001,11001,11001,11008,11008,11008,11008,11008,11205,11205,11206,11206,11206,11211,11211,11211,11211,11211,11316,11316,11316,11316,11316,11400,11400,11400,11400,11400,11430,11431,11433,11433,11433,11455,11455,11455,11455,11455,11595,11595,11595,11595,11595,11620,11620,11621,11621,11621,11798,11799,11801,11801,11801,12106,12106,12112,12112,12112,12165,12165,12167,12167,12168,12233,12233,12233,12233,12233,12539,12541,12542,12542,12542,123,107,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
